Paper_ID,Section,Extraction
P0005,Research Gap,"[GAP-ready: supported by P0005] Combining convolutional trace evidence with other evidence types (frequency, semantic) for stronger forensic conclusions."
P0005,Future Work,Extension to diffusion model detection.
P0005,Future Work,Robustness to post-processing attacks.
P0005,Future Work,Real-time deployment.
P0005,Future Work,Integration with other forensic evidence types.
P0006,Weaknesses,[GAP-ready: supported by P0006] **Zero citations** at time of registration — impact not established.
P0006,Weaknesses,[GAP-ready: supported by P0006] **Limited validation details** available.
P0006,Weaknesses,[GAP-ready: supported by P0006] **Single venue** — Inderscience journal has limited visibility.
P0006,Weaknesses,[GAP-ready: supported by P0006] **Likely limited to specific diffusion architectures** used for reconstruction.
P0006,Research Gap,[GAP-ready: supported by P0006] Reconstruction-based detection for diffusion models is a nascent area.
P0006,Research Gap,[GAP-ready: supported by P0006] Cross-diffusion-model generalization of reconstruction error features is unexplored.
P0006,Future Work,Extension to multiple diffusion architectures; cross-dataset evaluation; comparison with other detection methods.
P0007,Weaknesses,[GAP-ready: supported by P0007] **Limited to video-derived face crops** — does not include fully synthetic faces generated by GANs or diffusion models from scratch (only face swaps/reenactments).
P0007,Weaknesses,"[GAP-ready: supported by P0007] **No diffusion-model-generated faces** — the study predates widespread diffusion model usage in face generation, leaving a major generator class unaddressed."
P0007,Weaknesses,[GAP-ready: supported by P0007] **No explainability analysis** — the study evaluates detection performance but does not investigate what features models rely on or whether they exploit dataset-specific shortcuts.
P0007,Weaknesses,[GAP-ready: supported by P0007] **Binary classification only** — no source attribution or multi-class detection is explored.
P0007,Weaknesses,"[GAP-ready: supported by P0007] **Pre-training paradigms limited to DINO and CLIP** — other self-supervised methods (MAE, BYOL, SimCLR) are not compared."
P0007,Research Gap,[GAP-ready: supported by P0007] Cross-dataset generalization remains an unsolved problem — even the best models show significant degradation.
P0007,Research Gap,[GAP-ready: supported by P0007] Generalization analysis for diffusion-model-generated faces is entirely absent.
P0007,Research Gap,[GAP-ready: supported by P0007] The relationship between explainability and generalization (do models that generalize well attend to different features?) is not explored.
P0007,Research Gap,[GAP-ready: supported by P0007] Combining supervised and self-supervised strategies for optimal generalization is under-explored.
P0007,Future Work,Extending the analysis to diffusion-model-generated content.
P0007,Future Work,Combining supervised and self-supervised training strategies.
P0007,Future Work,More diverse augmentation strategies tailored to forensic generalization.
P0007,Future Work,Larger-scale evaluation with more recent architectures and datasets.
P0008,Weaknesses,[GAP-ready: supported by P0008] **Limited to GAN-generated faces** — GAN inversion doesn't directly apply to diffusion models.
P0008,Weaknesses,[GAP-ready: supported by P0008] **Narrow dataset evaluation**.
P0008,Weaknesses,[GAP-ready: supported by P0008] **Biometric trait availability** — depends on face resolution and quality.
P0008,Research Gap,[GAP-ready: supported by P0008] Inversion-based detection for diffusion models (using diffusion inversion rather than GAN inversion).
P0008,Research Gap,[GAP-ready: supported by P0008] Biometric inconsistency analysis for diffusion-generated faces.
P0008,Future Work,Cross-generator testing; diffusion model extension; larger-scale evaluation.
P0009,Weaknesses,[GAP-ready: supported by P0009] **Generation-focused** — not about detection.
P0009,Weaknesses,[GAP-ready: supported by P0009] **Limited to face manipulation** — no detection evaluation.
P0009,Research Gap,Not directly relevant to detection research gaps.
P0009,Future Work,Detection countermeasures; ethical implications; multi-modal extension.
P0010,Weaknesses,"[GAP-ready: supported by P0010] **Limited to GAN-generated images** — not tested on diffusion models, which may produce different frequency artifacts."
P0010,Weaknesses,[GAP-ready: supported by P0010] **Robustness degrades with heavy compression** — aggressive JPEG compression can destroy the DCT anomalies.
P0010,Weaknesses,[GAP-ready: supported by P0010] **May not detect GANs that have been specifically designed to avoid frequency artifacts** (anti-forensic GANs).
P0010,Weaknesses,[GAP-ready: supported by P0010] **Binary detection only** — source attribution (which GAN?) is not the primary focus.
P0010,Research Gap,[GAP-ready: supported by P0010] DCT-based analysis for diffusion model detection is unexplored.
P0010,Research Gap,[GAP-ready: supported by P0010] Combining DCT features with spatial-domain features for hybrid detection is under-studied.
P0010,Research Gap,[GAP-ready: supported by P0010] Robustness against adversarial anti-forensic attacks needs more investigation.
P0010,Future Work,Extension to diffusion model detection via adapted frequency analysis.
P0010,Future Work,Integration with spatial-domain methods for hybrid detection.
P0010,Future Work,Real-time deployment optimization.
P0010,Future Work,Anti-forensic robustness testing.
P0011,Weaknesses,"[GAP-ready: supported by P0011] **Very small dataset** (2,041 images) severely limits generalizability."
P0011,Weaknesses,[GAP-ready: supported by P0011] **No cross-dataset evaluation**.
P0011,Weaknesses,[GAP-ready: supported by P0011] **No generalization analysis** across different GAN architectures.
P0011,Weaknesses,[GAP-ready: supported by P0011] **Single dataset** — results may be dataset-specific.
P0011,Research Gap,"[GAP-ready: supported by P0011] Hybrid GAN+classifier approaches need validation on larger, more diverse datasets."
P0011,Future Work,Larger datasets; cross-dataset evaluation; more architectures; generalization testing.
P0012,Weaknesses,"[GAP-ready: supported by P0012] **Similar to P0004** — same first author, related theme."
P0012,Weaknesses,"[GAP-ready: supported by P0012] **Focus on privacy, not detection**."
P0012,Weaknesses,[GAP-ready: supported by P0012] **Blockchain overhead** for limited detection relevance.
P0012,Research Gap,Not directly relevant to detection research gaps.
P0012,Future Work,Scalability; integration with detection pipelines; regulatory compliance.
P0013,Weaknesses,[GAP-ready: supported by P0013] **Limited to GAN images** — no diffusion model testing.
P0013,Weaknesses,[GAP-ready: supported by P0013] **Dataset details limited** in accessible sources.
P0013,Weaknesses,[GAP-ready: supported by P0013] **Same authors as P0017** — may be incremental improvement.
P0013,Research Gap,[GAP-ready: supported by P0013] Ensemble approaches for combined GAN+diffusion detection under social media conditions.
P0013,Future Work,Diffusion model extension; larger benchmarks; real-time deployment.
P0014,Weaknesses,[GAP-ready: supported by P0014] **Challenge-specific metrics** may not represent real-world conditions.
P0014,Weaknesses,[GAP-ready: supported by P0014] **Limited to GAN-era generators** — no diffusion models included.
P0014,Weaknesses,[GAP-ready: supported by P0014] **No cross-dataset evaluation** — all methods evaluated on the same challenge dataset.
P0014,Weaknesses,[GAP-ready: supported by P0014] **Fixed GAN architecture set** — may not generalize to unseen GANs.
P0014,Research Gap,[GAP-ready: supported by P0014] Standardized challenges for diffusion model detection are missing.
P0014,Research Gap,[GAP-ready: supported by P0014] Cross-dataset generalization benchmarks within challenge formats are needed.
P0014,Future Work,Diffusion model detection challenges.
P0014,Future Work,Cross-modal challenges (audio+video).
P0014,Future Work,Standardized evaluation protocols with cross-dataset components.
P0015,Weaknesses,[GAP-ready: supported by P0015] **Limited dataset diversity** — only CelebA-HQ.
P0015,Weaknesses,[GAP-ready: supported by P0015] **GAN-only** — physiological features may not transfer to diffusion models.
P0015,Weaknesses,[GAP-ready: supported by P0015] **Iris/pupil analysis requires face alignment and eye region detection** — adds preprocessing complexity.
P0015,Weaknesses,[GAP-ready: supported by P0015] **Limited generalization testing**.
P0015,Research Gap,[GAP-ready: supported by P0015] Multi-scale evidence fusion for deepfake detection is under-explored.
P0015,Research Gap,[GAP-ready: supported by P0015] Physiological anomaly detection for diffusion-generated faces is untested.
P0015,Future Work,Cross-generator testing; diffusion model extension; more physiological features; larger datasets.
P0016,Weaknesses,"[GAP-ready: supported by P0016] **Conference paper with limited detail** — full methodological specifics (exact augmentation pipeline, hyperparameters, training schedule) may be abbreviated."
P0016,Weaknesses,"[GAP-ready: supported by P0016] **Zero citations** at time of registration — as a 2026 paper, impact is not yet established."
P0016,Weaknesses,[GAP-ready: supported by P0016] **No cross-dataset evaluation** — all experiments use AI-Face-FairnessBench; generalization to other datasets is unknown.
P0016,Weaknesses,[GAP-ready: supported by P0016] **Binary classification only** — no multi-class source attribution.
P0016,Weaknesses,"[GAP-ready: supported by P0016] **Robustness to post-processing** (JPEG, resizing, social media re-encoding) not explicitly detailed beyond augmentation strategies."
P0016,Weaknesses,"[GAP-ready: supported by P0016] **Only three architectures tested** — broader architecture comparison (including ViTs, newer foundation models) would strengthen the findings."
P0016,Research Gap,[GAP-ready: supported by P0016] Dataset bias in deepfake detection benchmarks is pervasive and under-acknowledged — inflating reported performance.
P0016,Research Gap,"[GAP-ready: supported by P0016] DM-generated face detection is inherently harder than GAN detection (EfficientNet-B4 drops to 86.75%), suggesting fundamentally different artifacts."
P0016,Research Gap,[GAP-ready: supported by P0016] Fairness/bias analysis in deepfake detection is a nascent area — most studies ignore demographic dimensions.
P0016,Research Gap,[GAP-ready: supported by P0016] The gap between bias-unaware and bias-aware training suggests many published results may be overestimated.
P0016,Future Work,Mitigating dataset bias more thoroughly across diverse benchmarks.
P0016,Future Work,Testing with more diverse generators (including newest GAN and DM variants).
P0016,Future Work,Robustness testing against real-world post-processing pipelines.
P0016,Future Work,Larger-scale demographic fairness evaluation.
P0016,Future Work,Combining bias-aware training with explainability-guided feature selection.
P0017,Weaknesses,[GAP-ready: supported by P0017] **Conference proceedings paper** — limited methodological detail.
P0017,Weaknesses,[GAP-ready: supported by P0017] **No cross-dataset evaluation**.
P0017,Weaknesses,"[GAP-ready: supported by P0017] **Superseded by P0013** (same authors, more developed work)."
P0017,Research Gap,Not directly contributing beyond what P0013 addresses.
P0017,Future Work,Improved architectures; larger datasets; cross-platform evaluation.
P0018,Weaknesses,"[GAP-ready: supported by P0018] **Proprietary dataset** — the custom 83K dataset is not publicly released, limiting reproducibility and direct comparison by other researchers."
P0018,Weaknesses,"[GAP-ready: supported by P0018] **May not generalize to newest generators** — the tested GAN/DM architectures were contemporary to the study; newer models (e.g., SDXL, DALL-E 3, Midjourney v6) may produce different artifacts."
P0018,Weaknesses,[GAP-ready: supported by P0018] **Hierarchical approach adds complexity** — cascading errors propagate (a misclassification at Level 1 invalidates Levels 2–3).
P0018,Weaknesses,"[GAP-ready: supported by P0018] **No cross-dataset evaluation** reported — all training and testing use the same custom dataset, leaving generalization to other data distributions unverified."
P0018,Weaknesses,"[GAP-ready: supported by P0018] **Limited explainability** — while hierarchical classification provides partial interpretability (knowing it's GAN vs. DM), the method does not provide pixel-level or frequency-level explanations of *why* a decision was made."
P0018,Research Gap,[GAP-ready: supported by P0018] Unified GAN+DM detection with source attribution is under-explored; most works address one paradigm only.
P0018,Research Gap,"[GAP-ready: supported by P0018] Publicly available, large-scale datasets covering both GAN and DM generators are scarce."
P0018,Research Gap,[GAP-ready: supported by P0018] Error propagation in hierarchical detection systems is not well-studied.
P0018,Research Gap,[GAP-ready: supported by P0018] Explainability in hierarchical deepfake detection remains limited.
P0018,Future Work,Extension to newer generative models as they emerge.
P0018,Future Work,Lightweight deployment for real-time inference.
P0018,Future Work,Video extension (temporal analysis).
P0018,Future Work,Open release of the dataset for reproducible benchmarking.
P0018,Future Work,"Integration with explainability methods (e.g., Grad-CAM, SHAP) at each hierarchical level."
P0019,Weaknesses,[GAP-ready: supported by P0019] **Niche venue** with limited visibility.
P0019,Weaknesses,[GAP-ready: supported by P0019] **Limited reproducibility details**.
P0019,Weaknesses,[GAP-ready: supported by P0019] **Small scale** evaluation.
P0019,Weaknesses,[GAP-ready: supported by P0019] **GAN-only** — anti-forensic attacks on diffusion fingerprints not studied.
P0019,Research Gap,[GAP-ready: supported by P0019] Anti-forensic robustness testing for diffusion model detectors is unexplored.
P0019,Research Gap,[GAP-ready: supported by P0019] Defense mechanisms against fingerprint removal need investigation.
P0019,Future Work,Stronger anti-forensic attacks; defense mechanisms; standardized robustness benchmarks; diffusion model fingerprint attacks.
P0020,Weaknesses,[GAP-ready: supported by P0020] **Requires cooperation of content creators** — not applicable to existing unwatermarked content.
P0020,Weaknesses,[GAP-ready: supported by P0020] **Not applicable to reactive detection scenarios** (our primary use case).
P0020,Weaknesses,[GAP-ready: supported by P0020] **Deployment challenges** — standardization across platforms needed.
P0020,Research Gap,[GAP-ready: supported by P0020] Integration of proactive (watermarking) and reactive (forensic analysis) approaches.
P0020,Future Work,Invisible watermarking; standardization; integration with reactive detection.
P0021,Weaknesses,[GAP-ready: supported by P0021] **Custom dataset may have bias** — relatively small (36K images) and may contain shortcuts similar to those identified in P0016.
P0021,Weaknesses,[GAP-ready: supported by P0021] **Limited generator diversity** — only StyleGAN2 and Stable Diffusion represented; more generators needed.
P0021,Weaknesses,[GAP-ready: supported by P0021] **No cross-dataset evaluation** — all training and testing on the same custom dataset.
P0021,Weaknesses,[GAP-ready: supported by P0021] **Single ViT architecture** — no comparison with other transformer variants or recent architectures.
P0021,Weaknesses,[GAP-ready: supported by P0021] **No explainability analysis** — attention maps not analyzed to understand what the ViT learns.
P0021,Weaknesses,"[GAP-ready: supported by P0021] **Mixed class label (""Stable&GAN_Fake"")** is semantically unclear."
P0021,Research Gap,[GAP-ready: supported by P0021] Multiclass deepfake detection with diverse generators across both GAN and DM families is under-explored.
P0021,Research Gap,[GAP-ready: supported by P0021] Cross-dataset generalization of multiclass detectors is not studied.
P0021,Research Gap,[GAP-ready: supported by P0021] ViT attention analysis for understanding forensic features in deepfake detection is missing.
P0021,Future Work,More generators for broader multiclass taxonomy.
P0021,Future Work,Cross-dataset evaluation.
P0021,Future Work,Ensemble approaches combining ViT with other architectures.
P0021,Future Work,Explainability via attention visualization.
P0022,Weaknesses,[GAP-ready: supported by P0022] **Book chapter format** — not primary research with novel experiments.
P0022,Weaknesses,[GAP-ready: supported by P0022] **May not cover latest diffusion models** (published 2022) — the diffusion era detection landscape is largely absent.
P0022,Weaknesses,[GAP-ready: supported by P0022] **GAN-centric** — primarily covers GAN detection methods.
P0022,Research Gap,[GAP-ready: supported by P0022] Updated face-specific surveys covering diffusion model detection are needed.
P0022,Research Gap,[GAP-ready: supported by P0022] Hybrid spatial+frequency approaches combining the strengths of both domains are under-explored.
P0022,Research Gap,[GAP-ready: supported by P0022] Real-world deployment evaluation (in-the-wild) is still sparse.
P0022,Future Work,Diffusion model detection.
P0022,Future Work,Real-world deployment challenges.
P0022,Future Work,Standardized benchmarks.
P0023,Weaknesses,"[GAP-ready: supported by P0023] **Focused exclusively on diffusion models** — does not include GAN-generated faces, so performance on a mixed GAN+DM scenario is unknown."
P0023,Weaknesses,[GAP-ready: supported by P0023] **Binary detection only** — no source attribution (which of the 13 methods generated a given image).
P0023,Weaknesses,"[GAP-ready: supported by P0023] **Edge graph regularization performance details** — while improvement over baselines is shown, the absolute accuracy on the most challenging conditions remains relatively low, suggesting room for better methods."
P0023,Weaknesses,"[GAP-ready: supported by P0023] **No robustness analysis** to post-processing (JPEG compression, resizing, social media re-encoding) is reported."
P0023,Weaknesses,"[GAP-ready: supported by P0023] **Real image set is relatively small** (23,661) compared to the synthetic set (500K+), which may introduce evaluation bias."
P0023,Research Gap,[GAP-ready: supported by P0023] Detection of diffusion-generated faces remains an unsolved challenge (sub-30% accuracy for existing detectors).
P0023,Research Gap,[GAP-ready: supported by P0023] Unified GAN+diffusion detection on a single comprehensive benchmark is missing.
P0023,Research Gap,[GAP-ready: supported by P0023] Source attribution for diffusion-generated content (which model generated it?) is not addressed.
P0023,Research Gap,[GAP-ready: supported by P0023] Robustness of diffusion face detection to real-world perturbations is unexplored.
P0023,Research Gap,[GAP-ready: supported by P0023] The relationship between generation conditions (text-to-image vs. inpainting vs. face swap) and detectability is not fully analyzed.
P0023,Future Work,GAN+diffusion unified detection frameworks.
P0023,Future Work,More robust feature learning for diffusion-generated content.
P0023,Future Work,Real-time deployment and efficiency optimization.
P0023,Future Work,Cross-domain generalization (beyond faces).
P0023,Future Work,Source attribution within diffusion models.
P0024,Weaknesses,[GAP-ready: supported by P0024] **May not cover post-2023 diffusion developments** — the review was completed before the full impact of diffusion model detection became apparent.
P0024,Weaknesses,"[GAP-ready: supported by P0024] **Broad scope dilutes face-specific depth** — covers all deepfake modalities, reducing depth on face-specific detection."
P0024,Weaknesses,[GAP-ready: supported by P0024] **Review paper — no novel method or experimental contribution**.
P0024,Weaknesses,[GAP-ready: supported by P0024] **Rapid field evolution** means some findings may be outdated.
P0024,Research Gap,[GAP-ready: supported by P0024] Diffusion model detection is barely covered in existing systematic reviews.
P0024,Research Gap,[GAP-ready: supported by P0024] The gap between CNN-dominant literature and emerging Transformer/foundation model approaches needs bridging.
P0024,Research Gap,[GAP-ready: supported by P0024] Cross-modality detection (combining image + audio + video evidence) is under-explored.
P0024,Future Work,Updated surveys including diffusion era developments.
P0024,Future Work,Standardized evaluation frameworks for fair comparison.
P0024,Future Work,Focus on real-world deployment challenges.
P0024,Future Work,Cross-modality fusion methods.
P0025,Weaknesses,[GAP-ready: supported by P0025] **Generation-focused** — not directly about detection methods.
P0025,Weaknesses,[GAP-ready: supported by P0025] **GAN-specific** — does not cover diffusion model generation approaches.
P0025,Weaknesses,[GAP-ready: supported by P0025] **May bias understanding toward StyleGAN** when other GAN families also exist.
P0025,Research Gap,[GAP-ready: supported by P0025] How StyleGAN3's alias-free features affect the detectability of generated faces is unexplored.
P0025,Research Gap,[GAP-ready: supported by P0025] Comparative analysis of generation quality vs. detectability across GAN families and diffusion models.
P0025,Future Work,Detection implications of StyleGAN advances.
P0025,Future Work,Comparison with diffusion-based generation approaches.
P0025,Future Work,Understanding how latent space properties relate to forensic artifacts.
P0026,Weaknesses,[GAP-ready: supported by P0026] **IEEE Access venue** — less selective than top conferences.
P0026,Weaknesses,[GAP-ready: supported by P0026] May overlap significantly with P0024/P0027/P0028.
P0026,Weaknesses,[GAP-ready: supported by P0026] Review paper — no novel contribution.
P0026,Research Gap,[GAP-ready: supported by P0026] Reviews need to be continuously updated as the field evolves.
P0026,Future Work,Standardized comparison frameworks; diffusion model coverage.
P0027,Weaknesses,[GAP-ready: supported by P0027] **MDPI venue** — moderate impact.
P0027,Weaknesses,[GAP-ready: supported by P0027] **Scope broader than AI-generated faces** — may dilute focus.
P0027,Weaknesses,[GAP-ready: supported by P0027] **May not cover diffusion-based manipulation (2023)**.
P0027,Research Gap,[GAP-ready: supported by P0027] Updated reviews covering diffusion-based face manipulation.
P0027,Future Work,Diffusion-based manipulation coverage; emerging threat analysis.
P0028,Weaknesses,[GAP-ready: supported by P0028] **Pre-diffusion era** (2022) — does not cover diffusion model detection.
P0028,Weaknesses,[GAP-ready: supported by P0028] **Broad scope** may reduce depth on specific approaches.
P0028,Weaknesses,[GAP-ready: supported by P0028] **Review paper** — no novel experimental contribution.
P0028,Research Gap,[GAP-ready: supported by P0028] Diffusion model detection surveys are missing.
P0028,Research Gap,[GAP-ready: supported by P0028] Standardized cross-dataset benchmarks for fair comparison are needed.
P0028,Research Gap,[GAP-ready: supported by P0028] Real-time deployment and efficiency analysis is sparse.
P0028,Future Work,Updated surveys including diffusion models.
P0028,Future Work,Standardized evaluation benchmarks.
P0028,Future Work,Real-time detection deployment.
